,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,United Nations,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Year,"Sort
order","Major area, region, country or area of destination",Notes,Code,Type of data (a),0-4,5-9,10-14, 15-19,20-24,25-29,30-34,35-39,40-44,45-49,50-54,55-59,60-64,65-69,70-74,75+,Total,0-4,5-9,10-14, 15-19,20-24,25-29,30-34,35-39,40-44,45-49,50-54,55-59,60-64,65-69,70-74,75+,Total,0-4,5-9,10-14, 15-19,20-24,25-29,30-34,35-39,40-44,45-49,50-54,55-59,60-64,65-69,70-74,75+,Total,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1990,1990001,WORLD,,900,,"4,913,034","6,239,581","7,790,181","9,807,967","12,683,865","15,178,164","15,632,226","14,628,099","13,035,545","10,818,652","8,996,913","7,828,541","6,962,599","5,460,774","4,371,096","8,193,983","152,542,373","2,462,323","3,149,289","3,972,642","5,044,789","6,595,495","8,061,734","8,365,448","7,783,363","6,864,412","5,633,872","4,591,612","3,850,019","3,280,282","2,507,250","1,902,606","3,390,613","77,456,347","2,450,711","3,090,292","3,817,539","4,763,178","6,088,370","7,116,430","7,266,778","6,844,736","6,171,133","5,184,780","4,405,301","3,978,522","3,682,317","2,953,524","2,468,490","4,803,370","75,086,026",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1990,1990002,More developed regions,b,901,,"1,258,383","2,344,628","3,500,366","4,748,887","6,512,663","8,015,733","8,508,110","8,272,516","7,665,191","6,467,532","5,407,993","4,731,334","4,193,438","3,237,972","2,669,556","4,856,547","82,391,619","647,869","1,205,054","1,805,264","2,458,989","3,364,610","4,121,735","4,335,781","4,179,429","3,839,575","3,206,823","2,636,894","2,227,634","1,876,979","1,419,349","1,110,601","1,833,436","40,270,398","610,514","1,139,574","1,695,102","2,289,898","3,148,053","3,893,998","4,172,329","4,093,087","3,825,616","3,260,709","2,771,099","2,503,700","2,316,459","1,818,623","1,558,955","3,023,111","42,121,221",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1990,1990003,Less developed regions,c,902,,"3,654,651","3,894,953","4,289,815","5,059,080","6,171,202","7,162,431","7,124,116","6,355,583","5,370,354","4,351,120","3,588,920","3,097,207","2,769,161","2,222,802","1,701,540","3,337,436","70,150,754","1,814,454","1,944,235","2,167,378","2,585,800","3,230,885","3,939,999","4,029,667","3,603,934","3,024,837","2,427,049","1,954,718","1,622,385","1,403,303","1,087,901","792,005","1,557,177","37,185,949","1,840,197","1,950,718","2,122,437","2,473,280","2,940,317","3,222,432","3,094,449","2,751,649","2,345,517","1,924,071","1,634,202","1,474,822","1,365,858","1,134,901","909,535","1,780,259","32,964,805",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1990,1990004,Least developed countries,d,941,,"1,075,910","1,111,457","1,102,234","1,222,202","1,262,601","1,171,243","958,992","756,354","588,853","450,413","381,816","325,798","282,194","156,640","93,960","132,559","11,073,226","532,247","552,238","555,300","608,077","615,381","578,157","482,151","388,514","304,192","234,161","199,516","170,097","144,570","80,082","46,942","64,891","5,556,516","543,663","559,219","546,934","614,125","647,220","593,086","476,841","367,840","284,661","216,252","182,300","155,701","137,624","76,558","47,018","67,668","5,516,710",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1990,1990005,"Less developed regions, excluding least developed countries",,934,,"2,579,732","2,785,169","3,189,501","3,838,806","4,911,738","5,996,011","6,170,153","5,603,505","4,784,943","3,903,174","3,209,171","2,773,266","2,488,772","2,067,357","1,608,466","3,206,285","59,116,432","1,282,705","1,392,845","1,613,056","1,978,699","2,617,110","3,364,398","3,550,261","3,217,807","2,722,577","2,194,253","1,756,318","1,453,271","1,259,680","1,008,507","745,524","1,493,010","31,650,243","1,297,027","1,392,324","1,576,445","1,860,107","2,294,628","2,631,613","2,619,892","2,385,698","2,062,366","1,708,921","1,452,853","1,319,995","1,229,092","1,058,850","862,942","1,713,275","27,466,189",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1990,1990006,High-income countries,e,1503,,"1,725,598","2,470,546","3,067,085","4,041,275","5,977,181","7,895,067","8,494,172","7,750,618","6,897,043","5,510,358","4,683,717","3,970,815","3,544,860","2,823,270","2,267,771","4,119,634","75,239,010","863,586","1,250,709","1,575,864","2,117,063","3,180,156","4,316,558","4,678,392","4,222,165","3,691,751","2,907,646","2,413,847","1,977,256","1,679,986","1,306,413","997,951","1,608,943","38,788,286","862,012","1,219,837","1,491,221","1,924,212","2,797,025","3,578,509","3,815,780","3,528,453","3,205,292","2,602,712","2,269,870","1,993,559","1,864,874","1,516,857","1,269,820","2,510,691","36,450,724",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1990,1990007,Middle-income countries,e,1517,,"2,360,959","2,926,421","3,867,256","4,864,041","5,761,347","6,351,982","6,317,248","6,215,283","5,621,339","4,910,351","3,990,251","3,599,880","3,204,699","2,500,392","2,024,615","3,959,117","68,475,181","1,194,854","1,483,492","1,971,103","2,486,616","2,958,521","3,287,930","3,273,851","3,219,793","2,902,087","2,516,780","2,006,421","1,736,253","1,491,476","1,131,882","865,656","1,725,521","34,252,236","1,166,105","1,442,929","1,896,153","2,377,425","2,802,826","3,064,052","3,043,397","2,995,490","2,719,252","2,393,571","1,983,830","1,863,627","1,713,223","1,368,510","1,158,959","2,233,596","34,222,945",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1990,1990008,Upper-middle-income countries,e,1502,,"1,159,192","1,561,496","2,182,980","2,616,981","3,004,005","3,210,212","3,102,276","3,032,914","2,712,843","2,354,044","1,819,943","1,759,968","1,568,823","1,140,909","820,994","1,364,752","33,412,332","588,639","797,857","1,125,260","1,366,313","1,594,313","1,723,269","1,661,426","1,610,241","1,427,787","1,224,452","923,868","842,213","724,744","503,571","325,819","510,503","16,950,275","570,553","763,639","1,057,720","1,250,668","1,409,692","1,486,943","1,440,850","1,422,673","1,285,056","1,129,592","896,075","917,755","844,079","637,338","495,175","854,249","16,462,057",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1990,1990009,Lower-middle-income countries,e,1501,,"1,201,767","1,364,925","1,684,276","2,247,060","2,757,342","3,141,770","3,214,972","3,182,369","2,908,496","2,556,307","2,170,308","1,839,912","1,635,876","1,359,483","1,203,621","2,594,365","35,062,849","606,215","685,635","845,843","1,120,303","1,364,208","1,564,661","1,612,425","1,609,552","1,474,300","1,292,328","1,082,553","894,040","766,732","628,311","539,837","1,215,018","17,301,961","595,552","679,290","838,433","1,126,757","1,393,134","1,577,109","1,602,547","1,572,817","1,434,196","1,263,979","1,087,755","945,872","869,144","731,172","663,784","1,379,347","17,760,888",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1990,1990010,Low-income countries,e,1500,,"813,954","819,564","826,612","875,891","921,808","901,129","787,592","629,916","491,846","378,721","308,647","249,230","207,112","133,291","76,448","112,213","8,533,974","397,391","403,214","410,628","427,182","444,712","442,218","396,718","325,117","257,409","199,361","163,561","131,805","105,572","66,831","37,819","54,912","4,264,450","416,563","416,350","415,984","448,709","477,096","458,911","390,874","304,799","234,437","179,360","145,086","117,425","101,540","66,460","38,629","57,301","4,269,524",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1990,1990011,Sub-Saharan Africa,f,947,,"1,322,559","1,331,468","1,272,215","1,444,427","1,646,462","1,665,096","1,425,071","1,149,088","891,736","677,064","545,499","437,327","374,138","212,669","125,259","169,858","14,690,319","652,001","656,293","627,142","711,997","833,964","888,061","788,292","653,409","515,177","393,643","314,339","244,837","202,512","112,928","64,956","85,533","7,745,306","670,558","675,175","645,073","732,430","812,498","777,035","636,779","495,679","376,559","283,421","231,160","192,490","171,626","99,741","60,303","84,325","6,945,013",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1990,1990012,AFRICA,,903,,"1,398,630","1,401,488","1,344,153","1,531,194","1,758,164","1,782,433","1,530,528","1,237,599","961,455","730,853","586,689","469,650","401,775","231,517","138,822","185,290","15,690,623","686,071","688,021","658,066","749,966","887,849","951,395","851,069","709,550","560,542","428,041","339,563","263,748","217,602","122,730","71,811","93,318","8,279,564","712,559","713,467","686,087","781,228","870,315","831,038","679,459","528,049","400,913","302,812","247,126","205,902","184,173","108,787","67,011","91,972","7,411,059",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1990,1990013,Eastern Africa,,910,,"550,576","517,413","532,435","601,740","649,306","652,377","576,960","460,174","354,039","271,732","224,068","182,251","154,343","100,326","53,877","82,414","5,964,031","270,497","254,886","261,613","299,310","326,869","334,387","303,741","248,422","193,909","149,670","123,203","99,353","82,908","52,401","28,121","41,899","3,071,189","280,079","262,527","270,822","302,430","322,437","317,990","273,219","211,752","160,130","122,062","100,865","82,898","71,435","47,925","25,756","40,515","2,892,842",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1990,1990014,Burundi,,108,B R,"22,459","23,463","20,802","20,214","27,170","38,450","44,435","36,481","27,382","19,646","15,760","11,621","9,925","7,646","3,058","4,598","333,110","10,991","11,291","9,873","9,336","12,216","17,726","21,979","18,817","14,065","9,939","8,104","6,103","5,126","3,852","1,541","2,308","163,267","11,468","12,172","10,929","10,878","14,954","20,724","22,456","17,664","13,317","9,707","7,656","5,518","4,799","3,794","1,517","2,290","169,843",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1990,1990015,Comoros,,174,B,600,844,"1,053","1,159","1,237","1,594","1,708","1,592","1,268",985,752,496,341,225,90,135,"14,079",247,352,446,516,577,758,821,777,630,504,401,272,185,116,47,68,"6,717",353,492,607,643,660,836,887,815,638,481,351,224,156,109,43,67,"7,362",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1990,1990016,Djibouti,,262,B R,"5,415","7,310","11,681","17,361","20,195","19,015","13,622","8,289","4,618","3,714","3,244","2,837","2,232","1,191",595,902,"122,221","3,529","4,421","6,437","8,526","9,079","8,926","6,767","4,719","2,826","2,311","2,041","1,769","1,387",669,334,501,"64,242","1,886","2,889","5,244","8,835","11,116","10,089","6,855","3,570","1,792","1,403","1,203","1,068",845,522,261,401,"57,979",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1990,1990017,Eritrea,,232,I,718,625,819,"1,149","1,513","1,676","1,498","1,189",808,529,376,338,270,166,66,108,"11,848",385,335,437,612,801,884,787,623,424,277,195,175,139,78,31,45,"6,228",333,290,382,537,712,792,711,566,384,252,181,163,131,88,35,63,"5,620",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1990,1990018,Ethiopia,,231,B R,"77,249","82,902","102,266","134,231","146,833","141,491","116,311","89,373","66,453","50,187","39,590","32,523","29,004","23,488","9,395","14,094","1,155,390","41,272","44,185","54,443","71,389","77,813","74,627","61,129","46,834","34,803","26,075","20,367","16,729","14,741","11,439","4,576","6,862","607,284","35,977","38,717","47,823","62,842","69,020","66,864","55,182","42,539","31,650","24,112","19,223","15,794","14,263","12,049","4,819","7,232","548,106",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1990,1990019,Kenya,,404,B R,"17,616","21,480","27,980","42,711","33,769","33,416","26,853","21,309","16,045","13,703","11,183","8,965","7,498","5,808","4,118","4,838","297,292","9,432","11,378","14,750","22,655","17,884","17,509","14,519","11,915","9,178","7,840","6,341","5,088","4,115","3,218","2,322","2,708","160,852","8,184","10,102","13,230","20,056","15,885","15,907","12,334","9,394","6,867","5,863","4,842","3,877","3,383","2,590","1,796","2,130","136,440",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1990,1990020,Madagascar,,450,C,"1,241","1,287","1,059","1,323","1,841","1,865","1,697","1,564","1,673","1,950","1,986","1,781","1,359",986,"1,071","1,234","23,917",466,500,474,663,949,890,781,767,927,"1,200","1,325","1,256",993,702,708,747,"13,348",775,787,585,660,892,975,916,797,746,750,661,525,366,284,363,487,"10,569",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1990,1990021,Malawi,,454,B R,"167,574","141,449","126,627","134,246","117,183","102,482","81,556","63,675","49,072","33,501","29,852","26,092","21,760","8,298","5,985","18,372","1,127,724","76,753","65,246","59,561","64,862","58,236","51,855","41,527","32,424","24,988","17,060","15,043","12,879","10,621","3,974","2,859","8,632","546,520","90,821","76,203","67,066","69,384","58,947","50,627","40,029","31,251","24,084","16,441","14,809","13,213","11,139","4,324","3,126","9,740","581,204",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1990,1990022,Mauritius,1,480,C,312,379,297,194,328,322,344,303,253,185,128,117,123,114,76,138,"3,613",152,183,150,94,155,142,159,144,126,98,70,64,67,63,39,57,"1,763",160,196,147,100,173,180,185,159,127,87,58,53,56,51,37,81,"1,850",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1990,1990023,Mayotte,,175,B,938,903,"1,166","1,568","1,988","2,106","1,866","1,493","1,001",451,522,492,435,147,53,100,"15,229",455,440,577,839,"1,135","1,252","1,136",926,636,290,335,309,270,92,34,54,"8,780",483,463,589,729,853,854,730,567,365,161,187,183,165,55,19,46,"6,449",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1990,1990024,Mozambique,,508,B R,"17,900","12,866","9,374","15,745","26,975","9,720","6,240","5,746","4,261","3,885","2,956","2,306","1,582","1,209",668,899,"122,332","8,931","6,591","4,740","8,828","15,066","5,496","3,319","3,082","2,345","2,201","1,719","1,330",905,674,363,470,"66,060","8,969","6,275","4,634","6,917","11,909","4,224","2,921","2,664","1,916","1,684","1,237",976,677,535,305,429,"56,272",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
